date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:53	17353/17353	---M--	200	added ('OK')	text/html	etag:%2243c9-606ad7c9a429d%22	https://centerforiranianmusic.org/	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/index.html	(from )
10:14:53	35/35	---M--	200	added ('OK')	text/plain	etag:%2223-606ad62975d59%22	https://centerforiranianmusic.org/robots.txt		(from )
10:14:54	21594/21594	---M--	200	added ('OK')	text/css	etag:%22545a-606ad5a8e61be%22	https://centerforiranianmusic.org/wp-content/themes/studio/style.css	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/wp-content/themes/studio/style.css	(from https://centerforiranianmusic.org/)
10:14:54	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Aug%202024%2014:14:54%20GMT	https://centerforiranianmusic.org/feed	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/feed	(from https://centerforiranianmusic.org/)
10:14:54	25886/25886	---M--	200	added ('OK')	text/html	etag:%22651e-606ad5afde89d%22	https://centerforiranianmusic.org/feed/	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/feed/index.html	(from https://centerforiranianmusic.org/)
10:14:54	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2014:14:54%20GMT	https://centerforiranianmusic.org/feed/rss	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/feed/rss	(from https://centerforiranianmusic.org/)
10:14:54	252/252	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Aug%202024%2014:14:54%20GMT	https://centerforiranianmusic.org/feed/atom	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/feed/atom	(from https://centerforiranianmusic.org/)
10:14:55	42/42	---M--	200	added ('OK')	text/html	etag:%222a-606ad5a90943f%22	https://centerforiranianmusic.org/xmlrpc.php	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/xmlrpc.html	(from https://centerforiranianmusic.org/)
10:14:55	28776/28776	---M--	200	added ('OK')	text/html	etag:%227068-606ad5afdf06d%22	https://centerforiranianmusic.org/feed/atom/	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/feed/atom/index.html	(from https://centerforiranianmusic.org/)
10:14:56	16958/16958	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22423e-606ad5a8e5dd6%22	https://centerforiranianmusic.org/wp-content/themes/studio/favicon.ico	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/wp-content/themes/studio/favicon.ico	(from https://centerforiranianmusic.org/)
10:14:56	42/42	---M--	200	added ('OK')	text/html	etag:%222a-606ad5a90943f%22	https://centerforiranianmusic.org/xmlrpc.php?rsd	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/xmlrpc0db0.html	(from https://centerforiranianmusic.org/)
10:14:56	1045/1045	---M--	200	added ('OK')	text/xml	etag:%22415-606ad5a90943f%22	https://centerforiranianmusic.org/wp-includes/wlwmanifest.xml	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/wp-includes/wlwmanifest.xml	(from https://centerforiranianmusic.org/)
10:14:56	55740/55740	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.2.6/jquery.min.js	C:/Users/studio/Downloads/centerforiranianmusic/ajax.googleapis.com/ajax/libs/jquery/1.2.6/jquery.min.js	(from https://centerforiranianmusic.org/)
10:14:56	5054/5054	---M--	200	added ('OK')	application/javascript	etag:%2213be-606ad62976529%22	https://centerforiranianmusic.org/wp-content/themes/studio/js/jquery.innerfade.js	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/wp-content/themes/studio/js/jquery.innerfade.js	(from https://centerforiranianmusic.org/)
10:14:57	5587/5587	---M--	200	added ('OK')	image/png	etag:%2215d3-606ad5a8e61be%22	https://centerforiranianmusic.org/wp-content/themes/studio/cmu.png	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/wp-content/themes/studio/cmu.png	(from https://centerforiranianmusic.org/)
10:14:57	26300/26300	---M--	200	added ('OK')	image/jpeg	etag:%2266bc-606ad5a8fd4d6%22	https://centerforiranianmusic.org/wp-content/uploads/2013/02/LOGO_FINAL-sm_Final_web-e1360089998987.jpg	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/wp-content/uploads/2013/02/LOGO_FINAL-sm_Final_web-e1360089998987.jpg	(from https://centerforiranianmusic.org/)
10:14:57	248/248	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Aug%202024%2014:14:57%20GMT	https://centerforiranianmusic.org/about	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/about	(from https://centerforiranianmusic.org/)
10:14:57	249/249	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Aug%202024%2014:14:57%20GMT	https://centerforiranianmusic.org/people	C:/Users/studio/Downloads/centerforiranianmusic/centerforiranianmusic.org/people	(from https://centerforiranianmusic.org/)
